priority,wave,city_focus,company,kind,best_email,alt_email,phone,whatsapp_or_text,contact_page,linkedin_company,named_public_contact,public_title,hq_or_office,website,source,notes
1,National,NYC; LA; SF; Chicago; Boston; DC; Austin,Outpost Club (OJH / June Homes merge),Co-living,info@outpost.me,bookings@outpost-club.com; customer.service@outpost-club.com,+1-833-707-6611,,https://outpost-club.com/partner-with-us,https://www.linkedin.com/company/outpost-club,Sergii Starostin,CEO,"PO Box 243, New Milford, NJ 07646",https://outpost.me,outpost.me footer; BBB; partner-with-us,Largest US coliving operator. Partner page + info@ is the landlord/BD door. Do not use customer.service for first outreach.
1,National,NYC; LA; SF; Chicago; Boston; DC; Austin,June Homes (OJH),Co-living / property management,welcome@junehomes.com,accounting@junehomes.com,+1-888-604-6697,,https://junehomes.com/property-owners,https://www.linkedin.com/company/june-homes,Mauricio Zuniga,President (post-merger),"164 W 25th St, New York, NY 10001 (listed)",https://junehomes.com,junehomes.com/property-owners,Same company as Outpost after 2025 merger. Owner page is the right inbox.
1,National,All 11 cities,Blueground,Furnished 30-day+,salespartnernetwork@theblueground.com,partners@theblueground.com; danp@theblueground.com; partnerships@theblueground.com; press@theblueground.com,,,https://www.theblueground.com/rent-your-property/usa,https://www.linkedin.com/company/blueground-co,Dan Palermo,Director of Real Estate (US landlords),New York / global,https://www.theblueground.com,Blueground Partner Network + US landlord page,danp@ is published for US landlords/developers. salespartnernetwork@ is for operators joining their booking network. press@ is media only.
1,National,All 11 cities,Landing,Furnished 30-day+,partners@hellolanding.com,,+1-415-231-1701; +1-415-723-5308,,https://www.hellolanding.com/partner,https://www.linkedin.com/company/hellolanding,,,,"9 20th St N, Birmingham, AL 35203",https://www.hellolanding.com,hellolanding.com/partner,Best national owner/BD inbox. LinkedIn titles: Director of Business Development / Partner Growth.
1,National,NYC; LA; SF; Chicago; Boston; DC; Miami; Austin; Denver,Kasa (incl. Mint House),Furnished / extended stay,partnerships@kasa.com,hello@kasa.com; media@kasa.com,+1-650-451-3444,,https://kasa.com/property-partners,https://www.linkedin.com/company/kasaliving,Roman Pedan,CEO,New York HQ,https://kasa.com,kasa.com/property-partners; PR Newswire Jan 2026,Mint House now under Kasa. Use partnerships@ not renter support.
1,National,NYC; Chicago; Boston; SF; LA; Miami; Austin; Denver; Seattle; Philly; DC,PadSplit,Room marketplace (hosts),support@padsplit.com,,+1-770-373-7863 (Host line),,https://www.padsplit.com/help,https://www.linkedin.com/company/padsplit,Atticus LeBlanc,Founder/CEO,"Atlanta, GA",https://www.padsplit.com,padsplit.com host support article,Marketplace not a single landlord. Ask Host Success / market launch; or recruit their hosts at $2/day.
1,National,All 11 cities,National Corporate Housing,Corporate furnished,websales@nationalcorporatehousing.com,info@nationalcorporatehousing.com; media@nationalcorporatehousing.com,+1-303-863-7002; +1-800-550-1911; +1-800-766-9930,,https://www.nationalcorporatehousing.com/markets/corporate-office,https://www.linkedin.com/company/national-corporate-housing,,,,"8400 E Crescent Pkwy #300, Greenwood Village, CO 80111",https://www.nationalcorporatehousing.com,NCH corporate office page,Start the national conversation at Denver HQ. websales@ is the published sales inbox.
1,National,All 11 cities,Oakwood / Dwellworks Living,Corporate furnished / branded stays,,sales.global@oakwood.com,+1-833-753-0837 (Dwellworks Americas); +1-216-682-4200; +1-800-399-2626,,https://go.dwellworksliving.com/partner,https://www.linkedin.com/company/oakwood,,"","1317 Euclid Ave, Cleveland, OH 44115 (Dwellworks)",https://www.oakwood.com,Dwellworks Living contact + partner portal,US corporate-housing placement often sits with Dwellworks Living now. Use partner portal plus phone. Do not invent a US sales@oakwood.com.
1,National,NYC; Boston; SF; DC metro,Furnished Quarters,Corporate furnished,corporatesales@furnishedquarters.com,info@furnishedquarters.com; press@furnishedquarters.com; guestservices@furnishedquarters.com,+1-800-221-2808; +1-212-367-9400,,https://www.furnishedquarters.com/contact,https://www.linkedin.com/company/furnished-quarters,,,,"104 W 27th St 4th Fl, New York, NY 10001",https://www.furnishedquarters.com,furnishedquarters.com/contact,Use corporatesales@ not guestservices@. Boston office: 50 Terminal St Charlestown MA 02129 / +1-617-236-4908. SF: 1316 Folsom St / +1-415-767-1210. JC: +1-201-222-0523. White Plains: +1-914-848-7431.
2,NYC week 1,NYC,Roomrs,Co-living / furnished,info@roomrs.com,,+1-844-521-0048; +1-800-399-6884,,https://www.roomrs.com,https://www.linkedin.com/company/roomrs,Or Goldschmidt,Founder & CEO,"144 N 7th St #422, Brooklyn, NY 11249",https://www.roomrs.com,roomrs.com housing pages; LinkedIn,NYC-focused. 3–12 month furnished. High priority after Outpost.
2,NYC week 1,NYC,Cohabs,Co-living,newyork.office@cohabs.com,,+1-646-750-5207,+1-646-750-5207,https://cohabs.com/contact,https://www.linkedin.com/company/cohabs,,,,"41 E 11th St 11th Fl, New York, NY 10003",https://cohabs.com/cities/new-york,cohabs.com/contact,NYC office email is published. WhatsApp/text is the local leasing line — still usable to ask for partnerships/BD.
2,NYC week 1,NYC,Aya Coliving,Co-living,info@helloaya.com,,+1-212-810-9025,,https://helloaya.com/partners/,https://www.linkedin.com/company/aya-new-york,Amir Shriki,Founder & CEO,"1220 Broadway Suite 801, New York, NY 10001",https://helloaya.com,helloaya.com/about-us and helloaya.com/partners,NYC coliving operator. info@ is published on the site footer. Partners page is the owner/BD door. Team names (Gil Gibli, Mendy Furmanski) are public; do not invent personal emails.
2,NYC week 1,NYC,Node Living,Co-living,,,,https://node-living.com/contact/,https://www.linkedin.com/company/node-living,,,,Brooklyn / Bushwick,https://node-living.com,node-living.com/contact,No public inbox found. Use contact form. LinkedIn: Node Living.
